function, code1, hexcode1, code2, hexcode2
"CHANNEL DOWN","sendir,1:1,1,37000,1,1,129,65,16,17,16,49,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,49,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,49,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,49,16,17,16,49,16,17,16,49,16,49,16,17,16,17,16,49,16,17,16,49,16,17,16,49,16,49,16,17,16,49,16,2740","0000 0070 0000 0032 0081 0041 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0031 0010 0011 0010 0031 0010 0031 0010 0011 0010 0011 0010 0031 0010 0011 0010 0031 0010 0011 0010 0031 0010 0031 0010 0011 0010 0031 0010 0ab4",,

"CHANNEL SKIP","sendir,1:1,1,37000,1,1,128,64,16,16,16,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,16,48,16,48,16,48,16,16,16,16,16,48,16,16,16,48,16,48,16,48,16,48,16,16,16,16,16,16,16,2765","0000 0070 0000 0032 0080 0040 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0030 0010 0030 0010 0030 0010 0010 0010 0010 0010 0030 0010 0010 0010 0030 0010 0030 0010 0030 0010 0030 0010 0010 0010 0010 0010 0010 0010 0ACD",,

"CHANNEL UP","sendir,1:1,1,37000,1,1,129,65,16,17,16,49,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,49,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,49,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,49,16,17,16,49,16,49,16,17,16,17,16,17,16,17,16,49,16,17,16,49,16,49,16,17,16,49,16,2742","0000 0070 0000 0032 0081 0041 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0031 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0031 0010 0031 0010 0011 0010 0031 0010 0ab6",,

"CURSOR DOWN","sendir,1:1,1,37000,1,1,127,64,15,15,15,48,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48,15,48,15,15,15,48,15,15,15,15,15,48,15,15,15,48,15,48,15,15,15,48,15,15,15,15,15,48,15,48,15,2740","0000 0070 0000 0032 007F 0040 000F 000F 000F 0030 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 0030 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 0030 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 0030 000F 0030 000F 000F 000F 0030 000F 000F 000F 000F 000F 0030 000F 000F 000F 0030 000F 0030 000F 000F 000F 0030 000F 000F 000F 000F 000F 0030 000F 0030 000F 0AB4",,

"CURSOR ENTER","sendir,1:1,1,37000,1,1,127,64,15,15,15,48,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48,15,15,15,15,15,48,15,15,15,15,15,48,15,15,15,48,15,15,15,15,15,48,15,15,15,15,15,48,15,48,15,2729","0000 0070 0000 0032 007F 0040 000F 000F 000F 0030 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 0030 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 0030 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 000F 0030 000F 000F 000F 000F 000F 0030 000F 000F 000F 000F 000F 0030 000F 000F 000F 0030 000F 000F 000F 000F 000F 0030 000F 000F 000F 000F 000F 0030 000F 0030 000F 0AA9",,

